SURVEY:   CSP 
SNID:     2009cz 
FILTERS:  ugriBnmoJjYyH 
RA:       138.750083  # deg 
DEC:       29.735306  # deg 
REDSHIFT_HELIO: 0.0211 +- 0.0001  # Helio 
REDSHIFT_FINAL: 0.0220 +- 0.0001  # CMB 
MWEBV:     0.022 +-  0.004        # SFD98 * 0.86 
PEAKMJD: 54943.3
HOSTGAL_LOGMASS:  11.06 +-  0.13  #  

# ----------------------------------- 
NOBS: 83 
NVAR: 7 
VARLIST: MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG   MAGERR 
OBS: 54937.530  u NULL  2.66440e+04 4.70365e+02   16.436  0.019 
OBS: 54938.520  u NULL  2.83923e+04 4.74628e+02   16.367  0.018 
OBS: 54942.530  u NULL  3.17687e+04 5.31072e+02   16.245  0.018 
OBS: 54946.490  u NULL  2.55388e+04 4.50853e+02   16.482  0.019 
OBS: 54947.470  u NULL  2.34423e+04 4.35825e+02   16.575  0.020 
OBS: 54959.480  u NULL  6.26325e+03 5.03806e+02   18.008  0.084 
OBS: 54964.460  u NULL  3.46099e+03 1.06809e+02   18.652  0.033 
OBS: 54966.460  u NULL  2.82358e+03 8.71377e+01   18.873  0.033 
OBS: 54937.530  g NULL  4.25402e+04 2.75153e+02   15.928  0.007 
OBS: 54938.520  g NULL  4.55407e+04 3.79070e+02   15.854  0.009 
OBS: 54942.530  g NULL  5.28689e+04 4.40068e+02   15.692  0.009 
OBS: 54946.490  g NULL  5.07692e+04 3.75463e+02   15.736  0.008 
OBS: 54947.470  g NULL  4.90230e+04 3.17084e+02   15.774  0.007 
OBS: 54959.480  g NULL  2.43669e+04 2.02824e+02   16.533  0.009 
OBS: 54964.460  g NULL  1.64589e+04 1.67599e+02   16.959  0.011 
OBS: 54966.460  g NULL  1.36019e+04 1.76525e+02   17.166  0.014 
OBS: 54937.530  r NULL  3.76011e+04 2.08366e+02   16.062  0.006 
OBS: 54938.520  r NULL  4.05509e+04 2.62286e+02   15.980  0.007 
OBS: 54942.530  r NULL  4.80397e+04 2.66212e+02   15.796  0.006 
OBS: 54946.490  r NULL  5.00265e+04 2.77222e+02   15.752  0.006 
OBS: 54947.470  r NULL  4.95678e+04 2.74680e+02   15.762  0.006 
OBS: 54959.480  r NULL  2.81320e+04 1.81959e+02   16.377  0.007 
OBS: 54964.460  r NULL  2.58464e+04 1.67176e+02   16.469  0.007 
OBS: 54966.460  r NULL  2.51420e+04 1.39324e+02   16.499  0.006 
OBS: 54937.530  i NULL  2.86814e+04 1.85513e+02   16.356  0.007 
OBS: 54938.520  i NULL  2.97303e+04 2.19870e+02   16.317  0.008 
OBS: 54942.530  i NULL  2.86550e+04 1.85342e+02   16.357  0.007 
OBS: 54946.490  i NULL  2.63512e+04 1.94880e+02   16.448  0.008 
OBS: 54947.470  i NULL  2.58464e+04 1.91147e+02   16.469  0.008 
OBS: 54959.480  i NULL  1.51356e+04 1.54124e+02   17.050  0.011 
OBS: 54964.460  i NULL  1.62330e+04 1.50203e+02   16.974  0.010 
OBS: 54966.460  i NULL  1.66725e+04 1.54268e+02   16.945  0.010 
OBS: 54937.530  B NULL  3.94457e+04 2.55138e+02   16.010  0.007 
OBS: 54938.520  B NULL  4.25794e+04 2.75407e+02   15.927  0.007 
OBS: 54942.530  B NULL  4.87978e+04 3.15627e+02   15.779  0.007 
OBS: 54946.490  B NULL  4.56247e+04 2.95104e+02   15.852  0.007 
OBS: 54947.470  B NULL  4.39339e+04 2.84168e+02   15.893  0.007 
OBS: 54959.480  B NULL  1.85353e+04 2.40551e+02   16.830  0.014 
