SURVEY:   CfAIR2 
SNID:      2007co 
FILTERS:  abcdefghijklmnopqrsBCDEFGHIJKLMN 
RA:    275.765000  # deg 
DEC:        29.897111  # deg 
REDSHIFT_HELIO: 0.026962 +- 0.000100   # Helio 
REDSHIFT_FINAL: 0.026563 +- 0.000100   # CMB 
MWEBV:      0.097 +-  0.016        # SFD98 * 0.86 
VPEC:      283.193 
VPEC_ERR:   250.000 
PEAKMJD:  54285.30             # at brightest obs 
HOSTGAL_LOGMASS:  10.3660 +- 3.818  #  

# ----------------------------------- 
NOBS: 140 
NVAR: 7 
VARLIST: MJD   FLT FIELD   FLUXCAL   FLUXCALERR    MAG   MAGERR 
OBS: 54272.300  M NULL  8.54280e+03 3.03431e+03 17.671  0.330 
OBS: 54273.330  M NULL  6.29216e+03 1.10048e+03 18.003  0.175 
OBS: 54275.290  M NULL  6.13762e+03 1.58919e+03 18.030  0.250 
OBS: 54278.320  M NULL  6.44466e+03 1.66869e+03 17.977  0.250 
OBS: 54279.310  M NULL  6.84857e+03 1.19780e+03 17.911  0.175 
OBS: 54282.240  M NULL  9.35837e+03 1.63676e+03 17.572  0.175 
OBS: 54271.380  L NULL  6.78578e+03 1.75701e+03 17.921  0.250 
OBS: 54272.300  L NULL  6.96947e+03 1.21894e+03 17.892  0.175 
OBS: 54273.330  L NULL  5.68591e+03 1.47223e+03 18.113  0.250 
OBS: 54278.320  L NULL  4.11150e+03 7.19091e+02 18.465  0.175 
OBS: 54279.310  L NULL  4.91134e+03 8.58981e+02 18.272  0.175 
OBS: 54282.240  L NULL  4.97508e+03 1.28817e+03 18.258  0.250 
OBS: 54285.300  L NULL  5.13334e+03 1.32915e+03 18.224  0.250 
OBS: 54275.290  N NULL  1.43880e+04 4.78987e+03 17.105  0.312 
OBS: 54279.310  N NULL  1.61139e+04 1.94955e+03 16.982  0.124 
OBS: 54280.190  N NULL  2.10281e+04 5.66506e+03 16.693  0.259 
OBS: 54282.240  N NULL  2.14981e+04 4.49153e+03 16.669  0.206 
OBS: 54285.300  N NULL  2.51420e+04 5.53408e+03 16.499  0.216 
OBS: 54260.387  f NULL  1.28825e+04 5.45154e+02 17.225  0.045 
OBS: 54260.390  f NULL  1.25314e+04 5.78507e+02 17.255  0.049 
OBS: 54261.414  f NULL  1.31583e+04 5.18982e+02 17.202  0.042 
OBS: 54261.417  f NULL  1.32312e+04 4.71283e+02 17.196  0.038 
OBS: 54264.179  f NULL  1.35519e+04 5.73481e+02 17.170  0.045 
OBS: 54265.376  f NULL  1.32923e+04 4.86143e+02 17.191  0.039 
OBS: 54266.311  f NULL  1.18905e+04 4.57599e+02 17.312  0.041 
OBS: 54267.347  f NULL  1.20337e+04 4.74627e+02 17.299  0.042 
