SURVEY:   CfAIR2 
SNID:      sn2009al 
FILTERS:  abcdefghijklmnopqrsBCDEFGHIJKLMN 
RA:    162.842000  # deg 
DEC:         8.578528  # deg 
REDSHIFT_HELIO: 0.022105 +- 0.000100   # Helio 
REDSHIFT_FINAL: 0.023291 +- 0.000100   # CMB 
MWEBV:      0.021 +-  0.004        # SFD98 * 0.86 
VPEC:       6.426 
VPEC_ERR:   250.000 
PEAKMJD:  54893.20             # at brightest obs 
HOSTGAL_LOGMASS:  10.8490 +- 0.477  #  

# ----------------------------------- 
NOBS: 124 
NVAR: 7 
VARLIST: MJD   FLT FIELD   FLUXCAL   FLUXCALERR    MAG   MAGERR 
OBS: 54891.200  L NULL  1.91602e+04 3.35107e+03 16.794  0.175 
OBS: 54892.200  L NULL  1.97515e+04 5.11416e+03 16.761  0.250 
OBS: 54893.200  L NULL  2.40104e+04 7.86616e+02 16.549  0.035 
OBS: 54895.250  L NULL  2.05873e+04 9.30577e+02 16.716  0.048 
OBS: 54898.190  L NULL  2.17771e+04 1.42889e+03 16.655  0.069 
OBS: 54902.170  L NULL  1.90020e+04 1.30283e+03 16.803  0.072 
OBS: 54905.170  L NULL  1.87068e+04 4.84367e+03 16.820  0.250 
OBS: 54906.150  L NULL  1.93197e+04 3.37897e+03 16.785  0.175 
OBS: 54907.150  L NULL  1.97879e+04 3.46086e+03 16.759  0.175 
OBS: 54908.160  L NULL  1.80136e+04 1.19963e+03 16.861  0.070 
OBS: 54909.150  L NULL  1.77828e+04 3.11017e+03 16.875  0.175 
OBS: 54910.150  L NULL  1.77992e+04 9.24879e+02 16.874  0.055 
OBS: 54911.130  L NULL  1.66878e+04 2.91866e+03 16.944  0.175 
OBS: 54912.110  L NULL  1.76360e+04 1.70149e+03 16.884  0.100 
OBS: 54913.100  L NULL  1.81301e+04 1.42231e+03 16.854  0.082 
OBS: 54916.180  L NULL  2.11252e+04 5.46984e+03 16.688  0.250 
OBS: 54918.160  L NULL  2.15179e+04 5.57153e+03 16.668  0.250 
OBS: 54920.170  L NULL  2.20597e+04 1.73058e+03 16.641  0.082 
OBS: 54921.160  L NULL  2.11641e+04 2.12753e+03 16.686  0.104 
OBS: 54926.160  L NULL  1.93731e+04 1.61626e+03 16.782  0.087 
OBS: 54929.250  L NULL  1.53320e+04 2.68154e+03 17.036  0.175 
OBS: 54930.210  L NULL  1.44278e+04 2.52339e+03 17.102  0.175 
OBS: 54891.200  M NULL  2.41213e+04 8.13201e+02 16.544  0.036 
OBS: 54892.200  M NULL  2.35505e+04 4.11892e+03 16.570  0.175 
OBS: 54893.200  M NULL  2.46831e+04 6.44831e+02 16.519  0.028 
OBS: 54895.250  M NULL  2.42326e+04 9.55767e+02 16.539  0.042 
OBS: 54898.190  M NULL  2.46150e+04 3.02893e+03 16.522  0.126 
OBS: 54902.170  M NULL  1.52616e+04 4.13130e+02 17.041  0.029 
OBS: 54904.170  M NULL  1.47503e+04 9.10026e+02 17.078  0.065 
OBS: 54905.170  M NULL  1.28351e+04 7.04296e+02 17.229  0.058 
OBS: 54906.150  M NULL  1.16950e+04 6.87268e+02 17.330  0.062 
OBS: 54907.150  M NULL  1.26009e+04 3.26268e+03 17.249  0.250 
OBS: 54908.160  M NULL  1.04232e+04 5.41608e+02 17.455  0.055 
OBS: 54909.150  M NULL  1.02896e+04 4.84936e+02 17.469  0.050 
OBS: 54911.130  M NULL  8.43335e+03 9.07795e+02 17.685  0.111 
OBS: 54912.110  M NULL  9.28966e+03 6.27786e+02 17.580  0.071 
OBS: 54913.100  M NULL  9.78138e+03 1.71074e+03 17.524  0.175 
OBS: 54918.160  M NULL  1.25314e+04 8.34543e+02 17.255  0.070 
OBS: 54920.170  M NULL  1.34153e+04 1.76220e+03 17.181  0.134 
OBS: 54921.160  M NULL  1.45211e+04 2.30562e+03 17.095  0.160 
OBS: 54924.190  M NULL  1.53886e+04 2.24736e+03 17.032  0.148 
OBS: 54926.160  M NULL  1.26707e+04 6.33862e+02 17.243  0.053 
OBS: 54929.250  M NULL  1.22914e+04 2.14973e+03 17.276  0.175 
OBS: 54930.210  M NULL  1.00462e+04 1.75705e+03 17.495  0.175 
OBS: 54890.500  l NULL  2.24698e+04 7.14541e+02 16.621 16.621 
OBS: 54891.300  l NULL  2.48771e+04 6.61731e+02 16.511 16.511 
OBS: 54894.500  l NULL  2.86023e+04 2.44263e+03 16.359 16.359 
OBS: 54896.400  l NULL  2.75931e+04 1.69145e+03 16.398 16.398 
OBS: 54898.200  l NULL  2.80285e+04 9.24941e+02 16.381 16.381 
OBS: 54905.300  l NULL  1.85695e+04 2.01479e+03 16.828 16.828 
OBS: 54906.400  l NULL  1.72504e+04 4.53686e+02 16.908 16.908 
OBS: 54907.200  l NULL  1.57616e+04 5.21708e+02 17.006 17.006 
OBS: 54909.300  l NULL  1.31220e+04 3.76601e+02 17.205 17.205 
OBS: 54913.300  l NULL  8.87565e+03 1.89051e+02 17.630 17.630 
OBS: 54914.300  l NULL  8.29469e+03 2.58794e+02 17.703 17.703 
OBS: 54915.300  l NULL  7.59277e+03 1.95893e+02 17.799 17.799 
OBS: 54918.300  l NULL  5.90745e+03 3.82212e+02 18.072 18.072 
OBS: 54920.200  l NULL  4.95222e+03 2.08984e+02 18.263 18.263 
OBS: 54922.200  l NULL  4.40149e+03 1.73859e+02 18.391 18.391 
