# snid z logmass logsfr logssfr SDSSu PS1g umg chi2 nbands
2018gv 0.010 9.5313 -0.194992 -9.7263 15.091 -25.82 40.911 24383.5 24 
2006N -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
722 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
744 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
774 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1032 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1241 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1371 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1794 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2102 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2308 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2561 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2635 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2916 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2992 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
3592 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
5395 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
5549 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
5751 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
6057 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
6406 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
6558 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
7147 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
7876 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
8719 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
8921 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
10434 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
11300 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
12779 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
12780 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
