SURVEY: WFIRST   
SNID:   35   
IAUC:    NULL 
PHOTOMETRY_VERSION: ROMAN_NIR 
SNTYPE:  1 
FILTERS: ZYJH 
RA:      189.354401  deg 
DEC:     62.221527  deg 
PIXSIZE:  0.1100  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0000    MW E(B-V) 
MWEBV_ERR:   0.0000    error on MWEBV 
REDSHIFT_HELIO:   0.548587 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.549206 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   55005.031 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  snoopy.B18 
SIM_MODEL_INDEX:  4 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = snoopy.B18  
SIM_LIBID:  43  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.54859  
SIM_REDSHIFT_CMB:    0.54921  
SIM_REDSHIFT_HOST:   0.54859  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      42.5056  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        189.354401 deg  
SIM_DEC:       62.221527 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0000   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       0   (modify MWEBV_SFD)
SIM_AVTAU:        0.000   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.324  mag  (host extinction at 5510 A)
SIM_RV:         3.100   (CCM89 extinction parameter) 
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  (ZYJH F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   23.37  23.74  23.88  24.33  (ZYJH obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (ZYJH obs)
SIM_PEAKMJD:   55005.000000  days 
SIM_STRETCH:    1.148  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 312 
NVAR: 14 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS  FLT_REST  SIM_MAGREST AVWARP KCOR
OBS:  54990.000  Y MEDIUM   1.7924e+01   1.335e+00    0  31.483   0.91  24.3334  r -17.7680 0.341 -0.404
OBS:  54990.000  Z MEDIUM   2.2740e+01   1.479e+00    0  31.401   0.91  24.1400  r -17.8849 0.216 -0.481
OBS:  54990.000  H MEDIUM   1.3879e+01   8.217e-01    0  32.024   0.92  24.6170  Y -18.0189 1.830 0.130
OBS:  54990.000  J MEDIUM   1.8844e+01   1.116e+00    0  31.688   0.91  24.3068  i -17.8102 -0.412 -0.389
DETECTION:  1 obs satisfy YJ+HJ  at MJD_TRIGGER=54990.0000 
OBS:  54991.000  J MEDIUM   2.1134e+01   1.137e+00    0  31.688   0.91  24.2158  i -17.9168 -0.444 -0.373
OBS:  54991.000  H MEDIUM   1.5800e+01   8.396e-01    0  32.024   0.92  24.5233  Y -18.1087 1.346 0.126
OBS:  54991.000  Z MEDIUM   2.2839e+01   1.480e+00    0  31.401   0.91  24.0133  r -18.0147 0.263 -0.478
OBS:  54991.000  Y MEDIUM   2.3219e+01   1.385e+00    0  31.483   0.91  24.2171  r -17.8978 0.195 -0.391
OBS:  54992.000  Y MEDIUM   2.2111e+01   1.375e+00    0  31.483   0.91  24.1241  r -17.9991 0.139 -0.382
OBS:  54992.000  J MEDIUM   2.1195e+01   1.138e+00    0  31.688   0.91  24.1387  i -18.0033 -0.487 -0.364
OBS:  54992.000  H MEDIUM   1.7176e+01   8.522e-01    0  32.024   0.92  24.4441  Y -18.1777 0.880 0.116
OBS:  54992.000  Z MEDIUM   2.7908e+01   1.526e+00    0  31.401   0.91  23.9140  r -18.1160 0.302 -0.476
OBS:  54993.000  Z MEDIUM   2.8695e+01   1.534e+00    0  31.401   0.91  23.8245  r -18.2071 0.336 -0.474
OBS:  54993.000  H MEDIUM   1.8804e+01   8.669e-01    0  32.024   0.92  24.3716  Y -18.2379 0.448 0.104
OBS:  54993.000  Y MEDIUM   2.3942e+01   1.392e+00    0  31.483   0.91  24.0403  r -18.0901 0.108 -0.375
OBS:  54993.000  J MEDIUM   2.3810e+01   1.162e+00    0  31.688   0.91  24.0676  i -18.0811 -0.536 -0.357
OBS:  54994.000  Y MEDIUM   2.5150e+01   1.403e+00    0  31.483   0.91  23.9683  r -18.1681 0.106 -0.369
OBS:  54994.000  J MEDIUM   2.5285e+01   1.175e+00    0  31.688   0.91  24.0048  i -18.1476 -0.592 -0.353
OBS:  54994.000  Z MEDIUM   3.1077e+01   1.555e+00    0  31.401   0.91  23.7475  r -18.2850 0.363 -0.473
OBS:  54994.000  H MEDIUM   1.9315e+01   8.715e-01    0  32.024   0.92  24.3086  Y -18.2862 0.062 0.089
OBS:  54995.000  Y MEDIUM   2.9886e+01   1.445e+00    0  31.483   0.91  23.9107  r -18.2310 0.130 -0.364
OBS:  54995.000  H MEDIUM   1.8870e+01   8.675e-01    0  32.024   0.92  24.2628  Y -18.3189 -0.231 0.076
