SURVEY: WFIRST   
SNID:   62   
IAUC:    NULL 
PHOTOMETRY_VERSION: ROMAN_NIR 
SNTYPE:  1 
FILTERS: ZYJH 
RA:      189.354401  deg 
DEC:     62.221527  deg 
PIXSIZE:  0.1100  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0000    MW E(B-V) 
MWEBV_ERR:   0.0000    error on MWEBV 
REDSHIFT_HELIO:   0.509831 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.510434 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   55004.910 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  snoopy.B18 
SIM_MODEL_INDEX:  4 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = snoopy.B18  
SIM_LIBID:  43  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.50983  
SIM_REDSHIFT_CMB:    0.51043  
SIM_REDSHIFT_HOST:   0.50983  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      42.3142  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        189.354401 deg  
SIM_DEC:       62.221527 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0000   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       0   (modify MWEBV_SFD)
SIM_AVTAU:        0.000   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.108  mag  (host extinction at 5510 A)
SIM_RV:         3.100   (CCM89 extinction parameter) 
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  (ZYJH F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   23.05  23.36  23.53  24.09  (ZYJH obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (ZYJH obs)
SIM_PEAKMJD:   55005.000000  days 
SIM_STRETCH:    1.017  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 304 
NVAR: 14 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS  FLT_REST  SIM_MAGREST AVWARP KCOR
OBS:  54990.000  Y MEDIUM   2.3767e+01   1.390e+00    0  31.483   0.91  24.0214  i -17.6821 0.011 -0.611
OBS:  54990.000  Z MEDIUM   2.6044e+01   1.510e+00    0  31.401   0.91  23.9384  r -17.9218 0.350 -0.454
OBS:  54990.000  H MEDIUM   2.0600e+01   8.828e-01    0  32.024   0.92  24.2560  Y -18.2068 -0.894 0.149
OBS:  54990.000  J MEDIUM   2.6352e+01   1.185e+00    0  31.688   0.91  23.9915  i -17.9860 -0.381 -0.337
DETECTION:  1 obs satisfy YJ+HJ  at MJD_TRIGGER=54990.0000 
OBS:  54991.000  J MEDIUM   2.8650e+01   1.205e+00    0  31.688   0.91  23.8866  i -18.1172 -0.488 -0.310
OBS:  54991.000  H MEDIUM   2.0440e+01   8.814e-01    0  32.024   0.92  24.1672  Y -18.2991 -0.940 0.152
OBS:  54991.000  Z MEDIUM   3.1107e+01   1.555e+00    0  31.401   0.91  23.7956  r -18.0608 0.324 -0.458
OBS:  54991.000  Y MEDIUM   2.7565e+01   1.424e+00    0  31.483   0.91  23.8901  i -17.8132 -0.058 -0.611
OBS:  54992.000  Y MEDIUM   2.8805e+01   1.435e+00    0  31.483   0.91  23.7755  i -17.9279 -0.080 -0.611
OBS:  54992.000  J MEDIUM   2.9894e+01   1.216e+00    0  31.688   0.91  23.7917  i -18.2318 -0.591 -0.291
OBS:  54992.000  H MEDIUM   2.2862e+01   9.025e-01    0  32.024   0.92  24.0882  Y -18.3779 -0.986 0.152
OBS:  54992.000  Z MEDIUM   3.0225e+01   1.547e+00    0  31.401   0.91  23.6725  r -18.1800 0.305 -0.462
OBS:  54993.000  Z MEDIUM   3.8114e+01   1.616e+00    0  31.401   0.91  23.5653  r -18.2835 0.290 -0.465
OBS:  54993.000  H MEDIUM   2.5578e+01   9.255e-01    0  32.024   0.92  24.0173  Y -18.4458 -1.031 0.149
OBS:  54993.000  Y MEDIUM   3.3017e+01   1.472e+00    0  31.483   0.91  23.6743  i -18.0290 -0.066 -0.611
OBS:  54993.000  J MEDIUM   3.3980e+01   1.251e+00    0  31.688   0.91  23.7048  i -18.3329 -0.687 -0.276
OBS:  54994.000  Y MEDIUM   3.6985e+01   1.506e+00    0  31.483   0.91  23.5942  i -18.1071 -0.026 -0.613
OBS:  54994.000  J MEDIUM   3.5237e+01   1.262e+00    0  31.688   0.91  23.6337  i -18.4110 -0.780 -0.269
OBS:  54994.000  Z MEDIUM   3.9358e+01   1.626e+00    0  31.401   0.91  23.4797  r -18.3651 0.280 -0.469
OBS:  54994.000  H MEDIUM   2.6044e+01   9.294e-01    0  32.024   0.92  23.9611  Y -18.4948 -1.085 0.142
OBS:  54995.000  Y MEDIUM   3.8155e+01   1.516e+00    0  31.483   0.91  23.5262  i -18.1721 0.019 -0.616
OBS:  54995.000  H MEDIUM   2.6743e+01   9.352e-01    0  32.024   0.92  23.9166  Y -18.5326 -1.130 0.135
OBS:  54995.000  J MEDIUM   3.7402e+01   1.280e+00    0  31.688   0.91  23.5744  i -18.4760 -0.869 -0.264
OBS:  54995.000  Z MEDIUM   4.4174e+01   1.667e+00    0  31.401   0.91  23.4060  r -18.4357 0.276 -0.472
OBS:  54996.000  H MEDIUM   2.7797e+01   9.439e-01    0  32.024   0.92  23.8820  Y -18.5608 -1.168 0.129
OBS:  54996.000  Y MEDIUM   4.1554e+01   1.545e+00    0  31.483   0.91  23.4685  i -18.2258 0.069 -0.620
OBS:  54996.000  J MEDIUM   4.1041e+01   1.309e+00    0  31.688   0.91  23.5250  i -18.5297 -0.953 -0.259
OBS:  54996.000  Z MEDIUM   4.5111e+01   1.674e+00    0  31.401   0.91  23.3422  r -18.4971 0.277 -0.475
OBS:  54997.000  J MEDIUM   3.8783e+01   1.291e+00    0  31.688   0.91  23.4891  i -18.5644 -1.039 -0.261
OBS:  54997.000  Y MEDIUM   4.1644e+01   1.545e+00    0  31.483   0.91  23.4274  i -18.2605 0.115 -0.626
OBS:  54997.000  Z MEDIUM   4.8175e+01   1.699e+00    0  31.401   0.91  23.2917  r -18.5456 0.280 -0.477
OBS:  54997.000  H MEDIUM   2.7863e+01   9.444e-01    0  32.024   0.92  23.8634  Y -18.5714 -1.178 0.121
OBS:  54998.000  Y MEDIUM   4.1822e+01   1.547e+00    0  31.483   0.91  23.3957  i -18.2854 0.167 -0.633
OBS:  54998.000  Z MEDIUM   4.6931e+01   1.689e+00    0  31.401   0.91  23.2448  r -18.5884 0.265 -0.481
OBS:  54998.000  J MEDIUM   4.0856e+01   1.308e+00    0  31.688   0.91  23.4616  i -18.5894 -1.130 -0.263
OBS:  54998.000  H MEDIUM   2.9476e+01   9.576e-01    0  32.024   0.92  23.8545  Y -18.5725 -1.184 0.113
OBS:  54999.000  J MEDIUM   4.1553e+01   1.313e+00    0  31.688   0.91  23.4418  i -18.6058 -1.224 -0.267
OBS:  54999.000  Y MEDIUM   4.6469e+01   1.585e+00    0  31.483   0.91  23.3724  i -18.3019 0.222 -0.640
OBS:  54999.000  Z MEDIUM   5.3537e+01   1.742e+00    0  31.401   0.91  23.2009  r -18.6260 0.233 -0.487
OBS:  54999.000  H MEDIUM   2.8660e+01   9.510e-01    0  32.024   0.92  23.8542  Y -18.5653 -1.188 0.105
OBS:  55000.000  J MEDIUM   3.9705e+01   1.299e+00    0  31.688   0.91  23.4387  i -18.6079 -1.320 -0.268
OBS:  55000.000  H MEDIUM   2.7239e+01   9.393e-01    0  32.024   0.92  23.8709  Y -18.5427 -1.186 0.100
OBS:  55000.000  Y MEDIUM   4.5565e+01   1.577e+00    0  31.483   0.91  23.3614  i -18.3039 0.258 -0.649
OBS:  55000.000  Z MEDIUM   5.2758e+01   1.736e+00    0  31.401   0.91  23.1625  r -18.6562 0.182 -0.495
OBS:  55001.000  J MEDIUM   4.0978e+01   1.309e+00    0  31.688   0.91  23.4438  i -18.6037 -1.411 -0.267
OBS:  55001.000  H MEDIUM   2.7800e+01   9.439e-01    0  32.024   0.92  23.8969  Y -18.5132 -1.176 0.096
OBS:  55001.000  Y MEDIUM   4.7721e+01   1.595e+00    0  31.483   0.91  23.3545  i -18.2998 0.276 -0.660
OBS:  55001.000  Z MEDIUM   5.6523e+01   1.766e+00    0  31.401   0.91  23.1292  r -18.6827 0.142 -0.502
OBS:  55002.000  H MEDIUM   2.5661e+01   9.262e-01    0  32.024   0.92  23.9313  Y -18.4772 -1.157 0.094
OBS:  55002.000  J MEDIUM   4.1199e+01   1.311e+00    0  31.688   0.91  23.4562  i -18.5939 -1.500 -0.264
OBS:  55002.000  Y MEDIUM   4.6770e+01   1.587e+00    0  31.483   0.91  23.3513  i -18.2899 0.278 -0.673
OBS:  55002.000  Z MEDIUM   5.6309e+01   1.764e+00    0  31.401   0.91  23.1006  r -18.7059 0.111 -0.508
OBS:  55003.000  H MEDIUM   2.5621e+01   9.259e-01    0  32.024   0.92  23.9815  Y -18.4300 -1.086 0.097
OBS:  55003.000  J MEDIUM   4.0478e+01   1.305e+00    0  31.688   0.91  23.4765  i -18.5771 -1.599 -0.261
OBS:  55003.000  Z MEDIUM   5.7573e+01   1.774e+00    0  31.401   0.91  23.0796  r -18.7238 0.098 -0.511
OBS:  55003.000  Y MEDIUM   4.2907e+01   1.556e+00    0  31.483   0.91  23.3529  i -18.2732 0.284 -0.688
OBS:  55004.000  Y MEDIUM   4.4719e+01   1.571e+00    0  31.483   0.91  23.3557  i -18.2541 0.282 -0.704
OBS:  55004.000  H MEDIUM   2.3843e+01   9.108e-01    0  32.024   0.92  24.0351  Y -18.3792 -0.991 0.100
OBS:  55004.000  J MEDIUM   3.8544e+01   1.289e+00    0  31.688   0.91  23.4999  i -18.5581 -1.682 -0.256
OBS:  55004.000  Z MEDIUM   5.9824e+01   1.791e+00    0  31.401   0.91  23.0627  r -18.7389 0.094 -0.513
OBS:  55005.000  Y MEDIUM   4.7562e+01   1.593e+00    0  31.483   0.91  23.3597  i -18.2329 0.271 -0.722
OBS:  55005.000  Z MEDIUM   6.1168e+01   1.802e+00    0  31.401   0.91  23.0497  r -18.7515 0.097 -0.513
OBS:  55005.000  H MEDIUM   2.3104e+01   9.045e-01    0  32.024   0.92  24.0920  Y -18.3249 -0.872 0.103
OBS:  55005.000  J MEDIUM   3.7134e+01   1.277e+00    0  31.688   0.91  23.5263  i -18.5368 -1.751 -0.251
OBS:  55006.000  Z MEDIUM   6.2017e+01   1.808e+00    0  31.401   0.91  23.0433  r -18.7587 0.114 -0.512
OBS:  55006.000  H MEDIUM   2.2329e+01   8.979e-01    0  32.024   0.92  24.1528  Y -18.2671 -0.705 0.106
OBS:  55006.000  Y MEDIUM   4.5668e+01   1.578e+00    0  31.483   0.91  23.3658  i -18.2099 0.245 -0.738
OBS:  55006.000  J MEDIUM   3.8073e+01   1.285e+00    0  31.688   0.91  23.5557  i -18.5138 -1.786 -0.245
OBS:  55007.000  Z MEDIUM   5.8770e+01   1.783e+00    0  31.401   0.91  23.0402  r -18.7628 0.130 -0.511
OBS:  55007.000  H MEDIUM   2.1333e+01   8.892e-01    0  32.024   0.92  24.2115  Y -18.2093 -0.533 0.107
OBS:  55007.000  Y MEDIUM   4.6131e+01   1.582e+00    0  31.483   0.91  23.3733  i -18.1868 0.221 -0.754
OBS:  55007.000  J MEDIUM   3.8692e+01   1.290e+00    0  31.688   0.91  23.5853  i -18.4907 -1.807 -0.238
OBS:  55008.000  J MEDIUM   3.5817e+01   1.266e+00    0  31.688   0.91  23.6150  i -18.4675 -1.813 -0.232
OBS:  55008.000  H MEDIUM   2.0030e+01   8.778e-01    0  32.024   0.92  24.2680  Y -18.1517 -0.355 0.106
OBS:  55008.000  Y MEDIUM   4.6068e+01   1.581e+00    0  31.483   0.91  23.3822  i -18.1636 0.199 -0.768
OBS:  55008.000  Z MEDIUM   6.2443e+01   1.811e+00    0  31.401   0.91  23.0405  r -18.7634 0.145 -0.510
OBS:  55009.000  H MEDIUM   2.0306e+01   8.802e-01    0  32.024   0.92  24.3163  Y -18.0964 -0.192 0.099
OBS:  55009.000  J MEDIUM   3.3754e+01   1.249e+00    0  31.688   0.91  23.6455  i -18.4441 -1.794 -0.225
OBS:  55009.000  Y MEDIUM   4.0951e+01   1.540e+00    0  31.483   0.91  23.3947  i -18.1401 0.165 -0.779
OBS:  55009.000  Z MEDIUM   6.1954e+01   1.808e+00    0  31.401   0.91  23.0466  r -18.7569 0.159 -0.511
OBS:  55010.000  H MEDIUM   1.8284e+01   8.622e-01    0  32.024   0.92  24.3646  Y -18.0432 -0.042 0.094
OBS:  55010.000  Y MEDIUM   4.1841e+01   1.547e+00    0  31.483   0.91  23.4098  i -18.1159 0.158 -0.788
OBS:  55010.000  Z MEDIUM   6.2619e+01   1.813e+00    0  31.401   0.91  23.0555  r -18.7468 0.168 -0.512
OBS:  55010.000  J MEDIUM   3.5292e+01   1.262e+00    0  31.688   0.91  23.6755  i -18.4198 -1.786 -0.219
OBS:  55011.000  H MEDIUM   1.7478e+01   8.550e-01    0  32.024   0.92  24.4131  Y -17.9922 0.094 0.091
OBS:  55011.000  Y MEDIUM   4.6040e+01   1.581e+00    0  31.483   0.91  23.4276  i -18.0907 0.182 -0.796
OBS:  55011.000  Z MEDIUM   6.1619e+01   1.805e+00    0  31.401   0.91  23.0675  r -18.7327 0.174 -0.514
OBS:  55011.000  J MEDIUM   3.4138e+01   1.252e+00    0  31.688   0.91  23.7049  i -18.3946 -1.791 -0.215
OBS:  55012.000  Y MEDIUM   3.9870e+01   1.531e+00    0  31.483   0.91  23.4521  i -18.0623 0.241 -0.800
OBS:  55012.000  H MEDIUM   1.6737e+01   8.482e-01    0  32.024   0.92  24.4608  Y -17.9456 0.191 0.092
OBS:  55012.000  J MEDIUM   3.2490e+01   1.238e+00    0  31.688   0.91  23.7338  i -18.3662 -1.814 -0.214
OBS:  55012.000  Z MEDIUM   5.2985e+01   1.738e+00    0  31.401   0.91  23.0847  r -18.7109 0.172 -0.519
OBS:  55013.000  H MEDIUM   1.5130e+01   8.334e-01    0  32.024   0.92  24.5084  Y -17.9011 0.261 0.095
