SURVEY:   WFIRST
SNID:     408
IAUC:     NULL
SNTYPE:   1
RA:       189.354401  # deg
DEC:      62.221527  # deg
FILTERS:  ZYJH
PIXSIZE:  0.1100  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0000 +- 0.0000  # MW E(B-V) 
PEAKMJD:  55005.246     # estimate for LC fit codes

REDSHIFT_HELIO:   0.550797 +- 0.000000  # Helio 
REDSHIFT_FINAL:   0.551417 +- 0.000000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 0.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      snoopy.B18  
SIM_MODEL_INDEX:     4  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      1  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           43    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.55080  
SIM_REDSHIFT_CMB:    0.55142  
SIM_REDSHIFT_HOST:   0.55080  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.5162   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              189.354401     # deg  
SIM_DEC:             62.221527      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0000   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   94   # MW color-law option 
SIMOPT_MWEBV:        0   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.051     # host extinction at 5510 A
SIM_RV:            3.101     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         55005.000    #  true PEAKMJD, days 
SIM_STRETCH:         1.099
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ZYJH filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.01  23.32  23.78  24.31  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 312
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 54990.0000 Y MEDIUM  2.7276e+01  1.422e+00    0  1.000 31.483  0.91 7.070e+00  23.9104 
OBS: 54990.0000 Z MEDIUM  3.1240e+01  1.556e+00    0  1.000 31.401  0.91 6.772e+00  23.7906 
OBS: 54990.0000 H MEDIUM  1.6088e+01  8.423e-01    0  1.000 32.024  0.92 8.866e+00  24.5184 
OBS: 54990.0000 J MEDIUM  2.0014e+01  1.127e+00    0  1.000 31.688  0.91 7.642e+00  24.1972 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=54990.0000
OBS: 54993.0000 Z MEDIUM  4.1640e+01  1.646e+00    0  1.000 31.401  0.91 6.772e+00  23.4689 
OBS: 54993.0000 H MEDIUM  2.0298e+01  8.802e-01    0  1.000 32.024  0.92 8.866e+00  24.2893 
OBS: 54993.0000 Y MEDIUM  3.8839e+01  1.522e+00    0  1.000 31.483  0.91 7.070e+00  23.6116 
OBS: 54993.0000 J MEDIUM  2.5802e+01  1.180e+00    0  1.000 31.688  0.91 7.642e+00  23.9484 
OBS: 54996.0000 H MEDIUM  2.3170e+01  9.051e-01    0  1.000 32.024  0.92 8.866e+00  24.1543 
OBS: 54996.0000 Y MEDIUM  4.1071e+01  1.541e+00    0  1.000 31.483  0.91 7.070e+00  23.4312 
OBS: 54996.0000 J MEDIUM  2.9349e+01  1.211e+00    0  1.000 31.688  0.91 7.642e+00  23.7923 
OBS: 54996.0000 Z MEDIUM  4.9318e+01  1.709e+00    0  1.000 31.401  0.91 6.772e+00  23.2730 
OBS: 54999.0000 J MEDIUM  3.5180e+01  1.261e+00    0  1.000 31.688  0.91 7.642e+00  23.7204 
OBS: 54999.0000 Y MEDIUM  4.3322e+01  1.559e+00    0  1.000 31.483  0.91 7.070e+00  23.3442 
OBS: 54999.0000 Z MEDIUM  5.4232e+01  1.748e+00    0  1.000 31.401  0.91 6.772e+00  23.1463 
OBS: 54999.0000 H MEDIUM  2.1227e+01  8.883e-01    0  1.000 32.024  0.92 8.866e+00  24.1171 
OBS: 55002.0000 H MEDIUM  2.0862e+01  8.851e-01    0  1.000 32.024  0.92 8.866e+00  24.1790 
OBS: 55002.0000 J MEDIUM  3.2359e+01  1.237e+00    0  1.000 31.688  0.91 7.642e+00  23.7297 
OBS: 55002.0000 Y MEDIUM  4.8802e+01  1.603e+00    0  1.000 31.483  0.91 7.070e+00  23.3199 
OBS: 55002.0000 Z MEDIUM  6.0010e+01  1.793e+00    0  1.000 31.401  0.91 6.772e+00  23.0582 
OBS: 55005.0000 Y MEDIUM  4.8655e+01  1.602e+00    0  1.000 31.483  0.91 7.070e+00  23.3157 
OBS: 55005.0000 Z MEDIUM  6.5049e+01  1.831e+00    0  1.000 31.401  0.91 6.772e+00  23.0116 
OBS: 55005.0000 H MEDIUM  1.8710e+01  8.661e-01    0  1.000 32.024  0.92 8.866e+00  24.3100 
OBS: 55005.0000 J MEDIUM  3.0657e+01  1.223e+00    0  1.000 31.688  0.91 7.642e+00  23.7802 
OBS: 55008.0000 J MEDIUM  2.7968e+01  1.199e+00    0  1.000 31.688  0.91 7.642e+00  23.8580 
OBS: 55008.0000 H MEDIUM  1.6637e+01  8.473e-01    0  1.000 32.024  0.92 8.866e+00  24.4556 
OBS: 55008.0000 Y MEDIUM  4.5244e+01  1.575e+00    0  1.000 31.483  0.91 7.070e+00  23.3260 
OBS: 55008.0000 Z MEDIUM  6.6101e+01  1.839e+00    0  1.000 31.401  0.91 6.772e+00  23.0018 
OBS: 55011.0000 H MEDIUM  1.4599e+01  8.284e-01    0  1.000 32.024  0.92 8.866e+00  24.5851 
OBS: 55011.0000 Y MEDIUM  4.6878e+01  1.588e+00    0  1.000 31.483  0.91 7.070e+00  23.3577 
OBS: 55011.0000 Z MEDIUM  6.1748e+01  1.806e+00    0  1.000 31.401  0.91 6.772e+00  23.0198 
OBS: 55011.0000 J MEDIUM  2.6104e+01  1.183e+00    0  1.000 31.688  0.91 7.642e+00  23.9399 
OBS: 55014.0000 J MEDIUM  2.6977e+01  1.190e+00    0  1.000 31.688  0.91 7.642e+00  24.0183 
OBS: 55014.0000 H MEDIUM  1.3806e+01  8.210e-01    0  1.000 32.024  0.92 8.866e+00  24.7337 
OBS: 55014.0000 Y MEDIUM  4.3948e+01  1.564e+00    0  1.000 31.483  0.91 7.070e+00  23.4171 
OBS: 55014.0000 Z MEDIUM  6.0489e+01  1.796e+00    0  1.000 31.401  0.91 6.772e+00  23.0611 
OBS: 55017.0000 H MEDIUM  1.1449e+01  7.984e-01    0  1.000 32.024  0.92 8.866e+00  24.8661 
OBS: 55017.0000 Y MEDIUM  3.9356e+01  1.526e+00    0  1.000 31.483  0.91 7.070e+00  23.5142 
OBS: 55017.0000 J MEDIUM  2.5069e+01  1.173e+00    0  1.000 31.688  0.91 7.642e+00  24.1085 
OBS: 55017.0000 Z MEDIUM  5.8046e+01  1.778e+00    0  1.000 31.401  0.91 6.772e+00  23.1259 
OBS: 55020.0000 Y MEDIUM  3.4042e+01  1.481e+00    0  1.000 31.483  0.91 7.070e+00  23.6387 
OBS: 55020.0000 J MEDIUM  2.1417e+01  1.140e+00    0  1.000 31.688  0.91 7.642e+00  24.1921 
OBS: 55020.0000 Z MEDIUM  5.2350e+01  1.733e+00    0  1.000 31.401  0.91 6.772e+00  23.2224 
OBS: 55020.0000 H MEDIUM  1.1296e+01  7.969e-01    0  1.000 32.024  0.92 8.866e+00  24.9220 
OBS: 55023.0000 H MEDIUM  9.8260e+00  7.825e-01    0  1.000 32.024  0.92 8.866e+00  24.9344 
OBS: 55023.0000 Z MEDIUM  4.5713e+01  1.679e+00    0  1.000 31.401  0.91 6.772e+00  23.3335 
OBS: 55023.0000 Y MEDIUM  3.3517e+01  1.477e+00    0  1.000 31.483  0.91 7.070e+00  23.7773 
OBS: 55023.0000 J MEDIUM  1.9713e+01  1.124e+00    0  1.000 31.688  0.91 7.642e+00  24.2450 
OBS: 55026.0000 J MEDIUM  2.0464e+01  1.131e+00    0  1.000 31.688  0.91 7.642e+00  24.2821 
OBS: 55026.0000 H MEDIUM  1.0791e+01  7.920e-01    0  1.000 32.024  0.92 8.866e+00  24.8835 
OBS: 55026.0000 Y MEDIUM  2.7332e+01  1.422e+00    0  1.000 31.483  0.91 7.070e+00  23.8950 
OBS: 55026.0000 Z MEDIUM  4.2886e+01  1.656e+00    0  1.000 31.401  0.91 6.772e+00  23.4551 
OBS: 55029.0000 Z MEDIUM  3.8769e+01  1.621e+00    0  1.000 31.401  0.91 6.772e+00  23.5707 
OBS: 55029.0000 J MEDIUM  1.9061e+01  1.118e+00    0  1.000 31.688  0.91 7.642e+00  24.2625 
OBS: 55029.0000 H MEDIUM  1.2870e+01  8.121e-01    0  1.000 32.024  0.92 8.866e+00  24.8159 
OBS: 55029.0000 Y MEDIUM  2.6912e+01  1.419e+00    0  1.000 31.483  0.91 7.070e+00  23.9585 
OBS: 55032.0000 Z MEDIUM  3.2870e+01  1.571e+00    0  1.000 31.401  0.91 6.772e+00  23.6650 
OBS: 55032.0000 Y MEDIUM  2.4721e+01  1.399e+00    0  1.000 31.483  0.91 7.070e+00  23.9795 
