SURVEY:   WFIRST
SNID:     275
IAUC:     NULL
SNTYPE:   1
RA:       189.354401  # deg
DEC:      62.221527  # deg
FILTERS:  ZYJH
PIXSIZE:  0.1100  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0000 +- 0.0000  # MW E(B-V) 
PEAKMJD:  55005.145     # estimate for LC fit codes

REDSHIFT_HELIO:   0.524617 +- 0.000000  # Helio 
REDSHIFT_FINAL:   0.525226 +- 0.000000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 0.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      snoopy.B18  
SIM_MODEL_INDEX:     4  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      1  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           43    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.52462  
SIM_REDSHIFT_CMB:    0.52523  
SIM_REDSHIFT_HOST:   0.52462  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.3888   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              189.354401     # deg  
SIM_DEC:             62.221527      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0000   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   94   # MW color-law option 
SIMOPT_MWEBV:        0   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.016     # host extinction at 5510 A
SIM_RV:            3.102     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         55005.000    #  true PEAKMJD, days 
SIM_STRETCH:         1.129
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ZYJH filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   22.86  23.21  23.68  24.21  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 72
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=54990.0000
OBS: 55013.0000 H MEDIUM  1.4216e+01  8.249e-01    0  1.000 32.024  0.92 8.866e+00  24.6094 
OBS: 55013.0000 J MEDIUM  2.7215e+01  1.193e+00    0  1.000 31.688  0.91 7.642e+00  23.9002 
OBS: 55013.0000 Z MEDIUM  6.8847e+01  1.859e+00    0  1.000 31.401  0.91 6.772e+00  22.8864 
OBS: 55013.0000 Y MEDIUM  4.8246e+01  1.599e+00    0  1.000 31.483  0.91 7.070e+00  23.2999 
OBS: 55016.0000 J MEDIUM  2.5010e+01  1.173e+00    0  1.000 31.688  0.91 7.642e+00  23.9913 
OBS: 55016.0000 H MEDIUM  1.2304e+01  8.067e-01    0  1.000 32.024  0.92 8.866e+00  24.7663 
OBS: 55016.0000 Y MEDIUM  4.2725e+01  1.554e+00    0  1.000 31.483  0.91 7.070e+00  23.3862 
OBS: 55016.0000 Z MEDIUM  6.6052e+01  1.838e+00    0  1.000 31.401  0.91 6.772e+00  22.9413 
OBS: 55019.0000 H MEDIUM  1.1702e+01  8.009e-01    0  1.000 32.024  0.92 8.866e+00  24.8613 
OBS: 55019.0000 J MEDIUM  2.3396e+01  1.158e+00    0  1.000 31.688  0.91 7.642e+00  24.0728 
OBS: 55019.0000 Y MEDIUM  4.2394e+01  1.552e+00    0  1.000 31.483  0.91 7.070e+00  23.4978 
OBS: 55019.0000 Z MEDIUM  6.1720e+01  1.806e+00    0  1.000 31.401  0.91 6.772e+00  23.0271 
OBS: 55022.0000 Z MEDIUM  5.5011e+01  1.754e+00    0  1.000 31.401  0.91 6.772e+00  23.1321 
OBS: 55022.0000 Y MEDIUM  3.4448e+01  1.485e+00    0  1.000 31.483  0.91 7.070e+00  23.6317 
OBS: 55022.0000 H MEDIUM  1.0146e+01  7.857e-01    0  1.000 32.024  0.92 8.866e+00  24.9138 
OBS: 55022.0000 J MEDIUM  2.4392e+01  1.167e+00    0  1.000 31.688  0.91 7.642e+00  24.1223 
OBS: 55025.0000 Y MEDIUM  3.2011e+01  1.464e+00    0  1.000 31.483  0.91 7.070e+00  23.7581 
OBS: 55025.0000 H MEDIUM  1.0952e+01  7.936e-01    0  1.000 32.024  0.92 8.866e+00  24.8909 
OBS: 55025.0000 J MEDIUM  2.1504e+01  1.141e+00    0  1.000 31.688  0.91 7.642e+00  24.1580 
OBS: 55025.0000 Z MEDIUM  4.9607e+01  1.711e+00    0  1.000 31.401  0.91 6.772e+00  23.2547 
OBS: 55028.0000 H MEDIUM  1.2662e+01  8.101e-01    0  1.000 32.024  0.92 8.866e+00  24.8327 
OBS: 55028.0000 Y MEDIUM  2.6471e+01  1.415e+00    0  1.000 31.483  0.91 7.070e+00  23.8327 
OBS: 55028.0000 J MEDIUM  2.1360e+01  1.140e+00    0  1.000 31.688  0.91 7.642e+00  24.1481 
OBS: 55028.0000 Z MEDIUM  4.4964e+01  1.673e+00    0  1.000 31.401  0.91 6.772e+00  23.3763 
