SURVEY:   WFIRST
SNID:     718
IAUC:     NULL
SNTYPE:   1
RA:       189.354401  # deg
DEC:      62.221527  # deg
FILTERS:  ZYJH
PIXSIZE:  0.1100  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0000 +- 0.0000  # MW E(B-V) 
PEAKMJD:  55005.012     # estimate for LC fit codes

REDSHIFT_HELIO:   0.561283 +- 0.000000  # Helio 
REDSHIFT_FINAL:   0.561907 +- 0.000000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 0.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      snoopy.B18  
SIM_MODEL_INDEX:     4  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      1  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           43    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.56128  
SIM_REDSHIFT_CMB:    0.56191  
SIM_REDSHIFT_HOST:   0.56128  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.5656   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              189.354401     # deg  
SIM_DEC:             62.221527      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0000   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   94   # MW color-law option 
SIMOPT_MWEBV:        0   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.024     # host extinction at 5510 A
SIM_RV:            3.099     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         55005.000    #  true PEAKMJD, days 
SIM_STRETCH:         1.090
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ZYJH filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.03  23.32  23.79  24.32  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 96
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=54990.0000
OBS: 54998.0000 Y MEDIUM  4.3745e+01  1.563e+00    0  1.000 31.483  0.91 7.070e+00  23.3743 
OBS: 54998.0000 Z MEDIUM  5.3763e+01  1.744e+00    0  1.000 31.401  0.91 6.772e+00  23.2028 
OBS: 54998.0000 J MEDIUM  3.1742e+01  1.232e+00    0  1.000 31.688  0.91 7.642e+00  23.7502 
OBS: 54998.0000 H MEDIUM  2.2722e+01  9.012e-01    0  1.000 32.024  0.92 8.866e+00  24.1367 
OBS: 55001.0000 J MEDIUM  2.9964e+01  1.217e+00    0  1.000 31.688  0.91 7.642e+00  23.7373 
OBS: 55001.0000 H MEDIUM  2.2148e+01  8.963e-01    0  1.000 32.024  0.92 8.866e+00  24.1693 
OBS: 55001.0000 Y MEDIUM  4.6627e+01  1.586e+00    0  1.000 31.483  0.91 7.070e+00  23.3326 
OBS: 55001.0000 Z MEDIUM  5.8074e+01  1.778e+00    0  1.000 31.401  0.91 6.772e+00  23.1022 
OBS: 55004.0000 Y MEDIUM  4.6138e+01  1.582e+00    0  1.000 31.483  0.91 7.070e+00  23.3194 
OBS: 55004.0000 H MEDIUM  2.0273e+01  8.799e-01    0  1.000 32.024  0.92 8.866e+00  24.2784 
OBS: 55004.0000 J MEDIUM  3.0563e+01  1.222e+00    0  1.000 31.688  0.91 7.642e+00  23.7745 
OBS: 55004.0000 Z MEDIUM  5.9065e+01  1.785e+00    0  1.000 31.401  0.91 6.772e+00  23.0426 
OBS: 55007.0000 Z MEDIUM  6.2713e+01  1.813e+00    0  1.000 31.401  0.91 6.772e+00  23.0214 
OBS: 55007.0000 H MEDIUM  1.7633e+01  8.564e-01    0  1.000 32.024  0.92 8.866e+00  24.4178 
OBS: 55007.0000 Y MEDIUM  4.6273e+01  1.583e+00    0  1.000 31.483  0.91 7.070e+00  23.3212 
OBS: 55007.0000 J MEDIUM  2.9180e+01  1.210e+00    0  1.000 31.688  0.91 7.642e+00  23.8443 
OBS: 55010.0000 H MEDIUM  1.4423e+01  8.268e-01    0  1.000 32.024  0.92 8.866e+00  24.5417 
OBS: 55010.0000 Y MEDIUM  4.7369e+01  1.592e+00    0  1.000 31.483  0.91 7.070e+00  23.3446 
OBS: 55010.0000 Z MEDIUM  6.4020e+01  1.823e+00    0  1.000 31.401  0.91 6.772e+00  23.0307 
OBS: 55010.0000 J MEDIUM  2.6088e+01  1.183e+00    0  1.000 31.688  0.91 7.642e+00  23.9261 
OBS: 55013.0000 H MEDIUM  1.3530e+01  8.184e-01    0  1.000 32.024  0.92 8.866e+00  24.6741 
OBS: 55013.0000 J MEDIUM  2.1497e+01  1.141e+00    0  1.000 31.688  0.91 7.642e+00  23.9993 
OBS: 55013.0000 Z MEDIUM  5.9285e+01  1.787e+00    0  1.000 31.401  0.91 6.772e+00  23.0652 
OBS: 55013.0000 Y MEDIUM  4.6965e+01  1.589e+00    0  1.000 31.483  0.91 7.070e+00  23.3897 
